iter	Passed	Remaining
0	158	158446
1	163	81498
2	167	55788
3	172	42960
4	177	35228
5	181	30047
6	186	26517
7	192	23824
8	197	21799
9	203	20163
10	207	18692
11	214	17638
12	218	16593
13	223	15708
14	227	14937
15	231	14256
16	236	13655
17	240	13114
18	244	12634
19	249	12204
20	253	11805
21	257	11444
22	261	11109
23	265	10798
24	269	10511
25	273	10243
26	277	9994
27	281	9763
28	285	9546
29	288	9343
30	292	9154
31	296	8979
32	300	8815
33	304	8659
34	308	8511
35	312	8371
36	316	8239
37	320	8111
38	324	7991
39	328	7875
40	332	7774
41	338	7714
42	343	7640
43	348	7576
44	354	7528
45	358	7438
46	364	7381
47	369	7318
48	375	7284
49	381	7249
50	386	7190
51	391	7129
52	394	7057
53	398	6987
54	402	6923
55	407	6865
56	411	6802
57	415	6741
58	419	6685
59	423	6628
60	427	6573
61	430	6517
62	435	6470
63	439	6421
64	442	6372
65	447	6326
66	451	6281
67	454	6236
68	458	6191
69	462	6148
70	466	6108
71	470	6067
72	474	6027
73	478	5989
74	482	5951
75	486	5912
76	490	5875
77	494	5840
78	498	5806
79	501	5771
80	505	5739
81	509	5706
82	513	5674
83	517	5643
84	521	5614
85	526	5599
86	531	5578
87	536	5561
88	542	5557
89	547	5539
90	552	5521
91	558	5510
92	565	5513
93	569	5486
94	573	5459
95	579	5452
96	583	5427
97	586	5402
98	591	5379
99	595	5355
100	599	5332
101	603	5308
102	607	5286
103	610	5263
104	615	5242
105	618	5219
106	622	5198
107	626	5177
108	630	5156
109	634	5136
110	638	5115
111	642	5096
112	646	5076
113	650	5057
114	654	5037
115	658	5018
116	662	5000
117	666	4982
118	670	4964
119	674	4946
120	678	4928
121	682	4910
122	686	4893
123	690	4875
124	694	4858
125	697	4840
126	701	4823
127	705	4807
128	709	4792
129	715	4785
130	720	4780
131	725	4772
132	731	4770
133	737	4768
134	742	4759
135	747	4751
136	755	4756
137	760	4750
138	764	4735
139	769	4729
140	773	4714
141	777	4699
142	781	4684
143	785	4670
144	789	4655
145	793	4641
146	797	4626
147	801	4612
148	805	4598
149	809	4587
150	813	4576
151	817	4563
152	822	4554
153	826	4541
154	830	4528
155	834	4515
156	838	4502
157	843	4492
158	847	4480
159	850	4467
160	854	4455
161	859	4443
162	862	4431
163	866	4419
164	870	4407
165	874	4395
166	878	4383
167	882	4371
168	886	4360
169	890	4348
170	894	4337
171	898	4326
172	902	4314
173	908	4312
174	913	4304
175	918	4301
176	923	4295
177	928	4288
178	932	4277
179	937	4268
180	942	4264
181	947	4260
182	953	4258
183	959	4253
184	963	4246
185	968	4238
186	973	4230
187	977	4223
188	982	4216
189	988	4212
190	992	4205
191	997	4198
192	1002	4191
193	1007	4186
194	1012	4178
195	1017	4173
196	1022	4165
197	1026	4155
